epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.922,1.68183,1.35883,1.23482,0.92503,0.93651,0.9513,0.59587,1.31849,0.74099,1.0491,0.000555018,0.000555018,0.000555018
2,490.66,1.30268,0.72305,1.05038,0.9533,0.9529,0.97624,0.65588,1.16277,0.59549,1.00985,0.00100073,0.00100073,0.00100073
3,701.667,1.196,0.62938,1.00838,0.96308,0.96312,0.98461,0.70726,1.04069,0.53636,0.97234,0.00133641,0.00133641,0.00133641
4,912.133,1.11702,0.57782,0.97842,0.96699,0.96825,0.98772,0.7233,0.97607,0.49103,0.9377,0.0011719,0.0011719,0.0011719
5,1122.25,1.03754,0.53598,0.95058,0.9687,0.96608,0.99111,0.77484,0.83899,0.43874,0.8966,0.00100687,0.00100687,0.00100687
6,1332.01,0.96896,0.50052,0.92866,0.90469,0.97367,0.9892,0.79864,0.77384,0.42734,0.87863,0.000841835,0.000841835,0.000841835
7,1541.63,0.92336,0.47608,0.91459,0.97588,0.9683,0.99134,0.82052,0.71184,0.39147,0.86194,0.000676802,0.000676802,0.000676802
8,1751.33,0.8717,0.4491,0.89887,0.9877,0.9877,0.99386,0.83655,0.68014,0.35992,0.85288,0.000511769,0.000511769,0.000511769
9,1963.75,0.83342,0.42725,0.88748,0.98974,0.98916,0.994,0.84539,0.63803,0.34061,0.83859,0.000346736,0.000346736,0.000346736
10,2173.84,0.79271,0.40412,0.87624,0.99081,0.99069,0.99237,0.85077,0.61713,0.33354,0.83261,0.000181703,0.000181703,0.000181703
